Year,Town Code,Town,2010 Census Units,Government Assisted,Tenant Rental Assistance,Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable,Population_2025,Population_2040,Projected_Population_Change_Pct
2020,1,Andover,1317,18.0,1,32,0,51,3.87,3013,2550,-15.3667441088616
2020,2,Ansonia,8148,349.0,764,147,0,1260,15.46,20264,21067,3.962692459534149
2020,3,Ashford,1903,32.0,0,36,0,68,3.57,4417,4159,-5.841068598596332
2020,4,Avon,7389,244.0,16,44,0,304,4.11,20495,25704,25.415955111002685
2020,5,Barkhamsted,1589,0.0,6,23,0,29,1.83,3674,3148,-14.316820903647251
2020,6,Beacon Falls,2509,0.0,4,46,0,50,1.99,6530,6587,0.8728943338437979
2020,7,Berlin,8140,556.0,50,142,4,752,9.24,20387,20297,-0.44145779173002403
2020,8,Bethany,2044,0.0,2,13,0,15,0.73,5699,5415,-4.983330408843656
2020,9,Bethel,7310,192.0,26,154,87,459,6.28,17010,15007,-11.775426219870665
2020,10,Bethlehem,1575,24.0,0,9,0,33,2.1,3596,3346,-6.952169076751947
2020,11,Bloomfield,9019,558.0,106,341,0,1005,11.14,20541,20152,-1.8937734287522519
2020,12,Bolton,2015,0.0,2,28,0,30,1.49,4434,3720,-16.102841677943168
2020,13,Bozrah,1059,0.0,3,30,0,33,3.12,2896,3089,6.664364640883978
2020,14,Branford,13972,233.0,77,170,9,489,3.5,25508,22605,-11.380743296220794
2020,15,Bridgeport,57012,6505.0,4353,900,19,11777,20.66,151797,154658,1.8847539806452036
2020,16,Bridgewater,881,0.0,24,1,0,25,2.84,1349,937,-30.541141586360265
2020,17,Bristol,27011,1908.0,962,1124,0,3994,14.79,59358,57129,-3.7551804306075
2020,18,Brookfield,6562,155.0,27,110,77,369,5.62,15298,14513,-5.131389724146947
2020,19,Brooklyn,3235,189.0,9,65,0,263,8.13,9276,10033,8.160845191893056
2020,20,Burlington,3389,27.0,0,47,0,74,2.18,9493,8699,-8.364057726746022
2020,21,Canaan,779,1.0,4,5,1,11,1.41,1417,1488,5.010585744530699
2020,22,Canterbury,2043,76.0,1,68,0,145,7.1,5220,4835,-7.375478927203065
2020,23,Canton,4339,211.0,15,53,32,311,7.17,11006,11461,4.134108667999273
2020,24,Chaplin,988,0.0,1,37,0,38,3.85,2148,1782,-17.039106145251395
2020,25,Cheshire,10424,258.0,22,100,17,397,3.81,27088,24860,-8.225044300059068
2020,26,Chester,1923,23.0,3,16,0,42,2.18,3764,3313,-11.98193411264612
2020,27,Clinton,6065,105.0,8,66,0,179,2.95,11632,9484,-18.46629986244842
2020,28,Colchester,6182,364.0,38,146,4,552,8.93,16180,15925,-1.57601977750309
2020,29,Colebrook,722,0.0,1,7,1,9,1.25,1320,1100,-16.666666666666664
2020,30,Columbia,2308,24.0,2,62,0,88,3.81,5458,5053,-7.420300476364969
2020,31,Cornwall,1007,28.0,2,6,0,36,3.57,1177,901,-23.44944774851317
2020,32,Coventry,5099,103.0,5,131,20,259,5.08,11958,10605,-11.314601103863522
2020,33,Cromwell,6001,212.0,11,198,0,421,7.02,15019,16160,7.597043744590186
2020,34,Danbury,31154,1615.0,1269,565,289,3738,12.0,87307,94602,8.355572863573366
2020,35,Darien,7074,136.0,10,2,104,252,3.56,19374,22250,14.844637142562197
2020,36,Deep River,2096,26.0,6,32,0,64,3.05,4031,3201,-20.590424212354254
2020,37,Derby,5849,275.0,301,111,0,687,11.75,13554,14082,3.8955289951305887
2020,38,Durham,2694,36.0,1,28,0,65,2.41,7361,6791,-7.743513109631843
2020,40,East Granby,2152,72.0,2,48,0,122,5.67,5343,5306,-0.6924948530787947
2020,41,East Haddam,4508,73.0,3,63,0,139,3.08,9022,8165,-9.499002438483707
2020,42,East Hampton,5485,70.0,6,91,25,192,3.5,13434,11543,-14.076224504987344
2020,43,East Hartford,21328,1593.0,815,1035,0,3443,16.14,54773,58550,6.895733299253282
2020,44,East Haven,12533,542.0,168,302,0,1012,8.07,29517,28958,-1.8938238980926245
2020,45,East Lyme,8458,396.0,20,95,19,530,6.27,19049,18225,-4.325686387736889
2020,47,East Windsor,5045,559.0,42,116,0,717,14.21,13591,16011,17.80590096387315
2020,39,Eastford,793,0.0,0,15,0,15,1.89,1789,1700,-4.974846282839575
2020,46,Easton,2715,0.0,0,3,15,18,0.66,6364,5388,-15.336266499057198
2020,48,Ellington,6665,260.0,5,118,0,383,5.75,19055,21951,15.198110732091314
2020,49,Enfield,17558,1340.0,227,659,7,2233,12.72,42620,40015,-6.112153918348193
2020,50,Essex,3261,58.0,2,17,16,93,2.85,5989,5082,-15.1444314576724
2020,51,Fairfield,21648,231.0,131,70,124,556,2.57,58360,67101,14.977724468814257
2020,52,Farmington,11106,470.0,107,149,155,881,7.93,25574,26150,2.252287479471338
2020,53,Franklin,771,27.0,2,20,0,49,6.36,1858,1661,-10.602798708288482
2020,54,Glastonbury,13656,604.0,44,133,2,783,5.73,34432,35939,4.376742565055762
2020,55,Goshen,1664,1.0,1,5,0,7,0.42,3116,3089,-0.8664955070603337
2020,56,Granby,4360,85.0,2,51,5,143,3.28,10471,10051,-4.011078216025212
2020,57,Greenwich,25631,879.0,443,16,33,1371,5.35,54529,47132,-13.565258853087347
2020,58,Griswold,5118,137.0,54,158,0,349,6.82,13205,13900,5.263157894736842
2020,59,Groton,17978,3727.0,107,377,10,4221,23.48,40639,38622,-4.9632126774773
2020,60,Guilford,9596,186.0,10,34,0,230,2.4,21789,21853,0.29372619211528755
2020,61,Haddam,3504,22.0,1,31,0,54,1.54,8865,8630,-2.6508742244782857
2020,62,Hamden,25114,937.0,788,523,4,2252,8.97,64551,70408,9.073445802543725
2020,63,Hampton,793,0.0,1,11,0,12,1.51,1769,1485,-16.054267947993218
2020,64,Hartford,51822,10501.0,8635,1523,0,20659,39.87,128137,126849,-1.005174149543067
2020,65,Hartland,856,2.0,0,8,0,10,1.17,1961,1581,-19.37786843447221
2020,66,Harwinton,2282,22.0,5,36,5,68,2.98,5433,4799,-11.669427572243695
2020,67,Hebron,3567,56.0,3,51,0,110,3.08,8793,7889,-10.280905265552144
2020,68,Kent,1665,58.0,4,5,0,67,4.02,2725,2267,-16.807339449541285
2020,69,Killingly,7592,520.0,147,188,0,855,11.26,18183,17948,-1.2924159929604575
2020,70,Killingworth,2598,0.0,0,18,5,23,0.89,5991,4955,-17.29260557502921
2020,71,Lebanon,3125,26.0,3,84,0,113,3.62,7006,6317,-9.834427633457036
2020,72,Ledyard,5987,32.0,8,233,0,273,4.56,14466,13315,-7.95658786119176
2020,73,Lisbon,1730,2.0,0,59,0,61,3.53,4165,3730,-10.444177671068427
2020,74,Litchfield,3975,140.0,2,28,19,189,4.75,8058,7238,-10.176222387689252
2020,75,Lyme,1223,0.0,0,5,8,13,1.06,2639,2742,3.902993558165972
2020,76,Madison,8049,90.0,2,11,33,136,1.69,16583,16261,-1.9417475728155338
2020,77,Manchester,25996,1851.0,950,964,32,3797,14.61,65736,73036,11.105026165267128
2020,78,Mansfield,6017,175.0,124,96,2,397,6.6,27362,29416,7.506761201666546
2020,79,Marlborough,2389,24.0,0,24,0,48,2.01,6056,5217,-13.854029062087186
2020,80,Meriden,25892,1964.0,1270,1029,11,4274,16.51,64100,66146,3.19188767550702
2020,81,Middlebury,2892,77.0,5,25,20,127,4.39,8410,8828,4.970273483947682
2020,82,Middlefield,1863,30.0,3,21,1,55,2.95,4396,4333,-1.4331210191082804
2020,83,Middletown,21223,3019.0,1123,543,25,4710,22.19,51751,57666,11.42973082645746
2020,84,Milford,23074,726.0,208,192,74,1200,5.2,50196,46897,-6.57223683162005
2020,85,Monroe,6918,35.0,3,54,8,100,1.45,15426,11961,-22.462077012835472
2020,86,Montville,7407,81.0,58,267,0,406,5.48,19410,18356,-5.430190623390005
2020,87,Morris,1314,20.0,4,8,0,32,2.44,2328,2202,-5.412371134020619
2020,88,Naugatuck,13061,493.0,315,367,0,1175,9.0,32535,31854,-2.093130474873213
2020,89,New Britain,31226,2913.0,1583,1167,100,5763,18.46,77176,80989,4.94065512594589
2020,90,New Canaan,7551,175.0,21,5,21,222,2.94,17687,18563,4.952790184881552
2020,91,New Fairfield,5593,0.0,1,67,17,85,1.52,10460,7324,-29.980879541108983
2020,92,New Hartford,2923,12.0,4,55,15,86,2.94,7291,7047,-3.3465916883829374
2020,93,New Haven,54967,9511.0,6867,982,440,17800,32.38,138958,143914,3.5665452870651566
2020,95,New London,11840,1598.0,510,509,101,2718,22.96,29972,31875,6.349259308688109
2020,96,New Milford,11731,307.0,44,182,17,550,4.69,25813,22723,-11.97071243172045
2020,94,Newington,13011,531.0,122,479,36,1168,8.98,31806,34158,7.394831163931334
2020,97,Newtown,10061,134.0,7,95,32,268,2.66,27122,28220,4.048374013715803
2020,98,Norfolk,967,21.0,2,5,0,28,2.9,1570,1348,-14.140127388535031
2020,99,North Branford,5629,62.0,13,52,0,127,2.26,13296,11855,-10.837845968712395
2020,100,North Canaan,1587,148.0,0,14,0,162,10.21,3072,2794,-9.049479166666668
2020,101,North Haven,9491,393.0,53,97,23,566,5.96,23582,23245,-1.429056059706556
2020,102,North Stonington,2306,0.0,1,27,6,34,1.47,5054,4250,-15.908191531460231
2020,103,Norwalk,35415,2242.0,1468,437,635,4782,13.5,87129,90247,3.5786018432439253
2020,104,Norwich,18659,2249.0,794,567,0,3610,19.35,47717,54765,14.770417251713225
2020,105,Old Lyme,5021,60.0,2,20,3,85,1.69,6875,6040,-12.145454545454545
2020,106,Old Saybrook,5602,50.0,15,25,73,163,2.91,8644,6987,-19.169366034243406
2020,107,Orange,5345,46.0,9,12,6,73,1.37,13617,14075,3.3634427553793054
2020,108,Oxford,4746,36.0,2,31,0,69,1.45,15698,17856,13.746974136832717
2020,109,Plainfield,6229,377.0,190,224,0,791,12.7,15343,14645,-4.549305872384801
2020,110,Plainville,8063,205.0,41,306,22,574,7.12,17776,17652,-0.6975697569756976
2020,111,Plymouth,5109,178.0,21,196,0,395,7.73,12155,11384,-6.3430686960098726
2020,112,Pomfret,1684,32.0,5,13,0,50,2.97,4656,4906,5.369415807560137
2020,113,Portland,4077,185.0,94,70,0,349,8.56,9847,10145,3.026302427135168
2020,114,Preston,2019,40.0,7,40,0,87,4.31,4408,3898,-11.569872958257713
2020,115,Prospect,3474,0.0,6,56,0,62,1.78,8978,8216,-8.48741367787926
2020,116,Putnam,4299,383.0,64,77,0,524,12.19,10573,11038,4.397994892651092
2020,117,Redding,3811,0.0,1,17,0,18,0.47,9073,9007,-0.7274330430948969
2020,118,Ridgefield,9420,175.0,7,36,69,287,3.05,22046,22187,0.6395718044089631
2020,119,Rocky Hill,8843,235.0,52,194,0,481,5.44,22204,24926,12.25905242298685
2020,120,Roxbury,1167,19.0,0,5,0,24,2.06,2218,2039,-8.070333633904418
2020,121,Salem,1635,0.0,3,34,0,37,2.26,3984,3454,-13.303212851405622
2020,122,Salisbury,2593,24.0,2,2,14,42,1.62,3171,2405,-24.156417533900978
2020,123,Scotland,680,0.0,1,31,0,32,4.71,1777,1642,-7.597073719752391
2020,124,Seymour,6968,262.0,28,113,0,403,5.78,16881,16753,-0.7582489189029086
2020,125,Sharon,1775,32.0,1,3,0,36,2.03,2182,1520,-30.339138405132903
2020,126,Shelton,16146,254.0,45,137,82,518,3.21,37508,34543,-7.904980270875546
2020,127,Sherman,1831,0.0,1,7,0,8,0.44,2670,1803,-32.47191011235955
2020,128,Simsbury,9123,289.0,60,98,0,447,4.9,21874,23574,7.771783852976136
2020,129,Somers,3479,146.0,9,35,0,190,5.46,11654,11330,-2.7801613180024027
2020,132,South Windsor,10243,443.0,55,232,9,739,7.21,24362,23389,-3.9939249651095974
2020,130,Southbury,9091,90.0,6,41,0,137,1.51,19163,18758,-2.1134477900120023
2020,131,Southington,17447,499.0,63,354,51,967,5.54,43643,42639,-2.3004834681392206
2020,133,Sprague,1248,20.0,13,27,1,61,4.89,3008,2928,-2.6595744680851063
2020,134,Stafford,5124,257.0,22,127,0,406,7.92,12088,11496,-4.8974189278623435
2020,135,Stamford,50573,4225.0,1971,450,1270,7916,15.65,128061,128825,0.5965906872506072
2020,136,Sterling,1511,0.0,7,24,0,31,2.05,4678,5197,11.09448482257375
2020,137,Stonington,9467,441.0,16,97,0,554,5.85,17255,15224,-11.770501303969864
2020,138,Stratford,21091,524.0,460,373,33,1390,6.59,52748,55394,5.0163039356942445
2020,139,Suffield,5469,296.0,5,51,15,367,6.71,16838,17458,3.682147523458843
2020,140,Thomaston,3276,104.0,6,98,0,208,6.35,7783,7370,-5.306437106514197
2020,141,Thompson,4171,151.0,13,48,0,212,5.08,9610,9390,-2.2892819979188346
2020,142,Tolland,5451,127.0,5,103,3,238,4.37,14283,12295,-13.918644542463069
2020,143,Torrington,16761,908.0,322,547,17,1794,10.7,37268,37315,0.12611355586562198
2020,144,Trumbull,13157,315.0,19,97,303,734,5.58,34411,33154,-3.6529016884135888
2020,145,Union,388,0.0,0,5,0,5,1.29,930,944,1.5053763440860215
2020,146,Vernon,13896,1509.0,461,386,12,2368,17.04,30683,31375,2.2553205358015838
2020,147,Voluntown,1127,20.0,1,24,0,45,3.99,2397,1875,-21.777221526908637
2020,148,Wallingford,18945,354.0,129,328,35,846,4.47,44968,44313,-1.4565913538516277
2020,149,Warren,811,0.0,0,1,0,1,0.12,1591,1520,-4.462602137020742
2020,150,Washington,2124,14.0,2,4,23,43,2.02,3161,2462,-22.113255298956027
2020,151,Waterbury,47991,5344.0,3123,1751,21,10239,21.34,114895,119211,3.7564733017102574
2020,152,Waterford,8634,123.0,30,266,0,419,4.85,18317,15996,-12.671288966533822
2020,153,Watertown,9096,205.0,32,229,0,466,5.12,21640,19871,-8.174676524953789
2020,155,West Hartford,26396,643.0,854,372,250,2119,8.03,66411,72685,9.447230127539113
2020,156,West Haven,22446,1024.0,1868,439,0,3331,14.84,61459,73508,19.604939878618268
2020,154,Westbrook,3937,140.0,5,30,29,204,5.18,7080,6911,-2.3870056497175143
2020,157,Weston,3674,0.0,2,6,0,8,0.22,8121,7007,-13.717522472601896
2020,158,Westport,10399,265.0,60,4,58,387,3.72,22822,21688,-4.9688896678643415
2020,159,Wethersfield,11677,705.0,114,293,0,1112,9.52,27165,29129,7.229891404380637
2020,160,Willington,2637,160.0,5,37,0,202,7.66,6535,5937,-9.150726855394034
2020,161,Wilton,6475,158.0,6,17,51,232,3.58,15342,14642,-4.562638508669013
